2025-06-08 06:16:10,967 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:53:11,653 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 16:57:48,199 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:58:00,997 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:58:01,002 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:58:01,003 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:58:01,006 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:58:01,006 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:58:01,009 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:58:01,010 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:58:01,012 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 17:05:11,187 | INFO | genai | GenAI RAG System is starting...
2025-06-14 17:05:27,540 | INFO | genai | Token-split into 5 chunks.
2025-06-14 17:05:27,546 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 17:05:27,549 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:05:27,552 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 17:05:27,553 | INFO | genai | Token-split into 4 chunks.
2025-06-14 17:05:27,559 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 17:05:27,560 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:05:27,563 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 17:07:52,913 | INFO | genai | GenAI RAG System is starting...
2025-06-14 17:10:56,255 | INFO | genai | GenAI RAG System is starting...
2025-06-14 17:11:08,205 | INFO | genai | Token-split into 5 chunks.
2025-06-14 17:11:08,212 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 17:11:08,215 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:11:08,216 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 17:11:08,217 | INFO | genai | Token-split into 4 chunks.
2025-06-14 17:11:08,221 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 17:11:08,222 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:11:08,224 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 17:13:00,853 | INFO | genai | GenAI RAG System is starting...
2025-06-14 17:13:23,394 | INFO | genai | Token-split into 11 chunks.
2025-06-14 17:13:24,471 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 17:13:24,473 | INFO | genai | Token-split into 10 chunks.
2025-06-14 17:13:25,293 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 17:13:25,298 | INFO | genai | Token-split into 10 chunks.
2025-06-14 17:13:25,833 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 17:13:25,835 | INFO | genai | Token-split into 10 chunks.
2025-06-14 17:13:26,207 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 17:13:26,210 | INFO | genai | Token-split into 11 chunks.
2025-06-14 17:13:26,724 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 17:13:33,806 | INFO | genai | Token-split into 5 chunks.
2025-06-14 17:13:33,810 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 17:13:33,811 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:13:33,812 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 17:13:33,813 | INFO | genai | Token-split into 4 chunks.
2025-06-14 17:13:33,816 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 17:13:33,816 | INFO | genai | Token-split into 3 chunks.
2025-06-14 17:13:33,818 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:00:09,595 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:00:28,732 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:00:28,740 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:00:28,742 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:00:28,749 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:00:28,751 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:00:28,758 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:00:28,759 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:00:28,765 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:00:28,767 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:00:28,777 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:00:35,923 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:00:35,927 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:00:35,928 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:00:35,930 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:00:35,931 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:00:35,933 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:00:35,934 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:00:35,935 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:03:43,553 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:04:01,511 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:04:01,518 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:04:01,520 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:04:01,526 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:04:01,530 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:04:01,536 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:04:01,538 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:04:01,543 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:04:01,546 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:04:01,552 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:04:09,862 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:04:09,866 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:04:09,868 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:04:09,870 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:04:09,872 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:04:09,874 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:04:09,875 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:04:09,877 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:06:17,378 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:08:56,497 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:08:56,509 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:08:56,511 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:08:56,528 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:08:56,530 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:08:56,542 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:08:56,544 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:08:56,552 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:08:56,555 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:08:56,564 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:09:05,462 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:09:05,466 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:09:05,467 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:09:05,469 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:09:05,470 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:09:05,473 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:09:05,474 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:09:05,476 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:11:26,893 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:11:40,378 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:11:40,387 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:11:40,388 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:11:40,394 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:11:40,396 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:11:40,402 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:11:40,404 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:11:40,410 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:11:40,412 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:11:40,418 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:11:47,255 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:11:47,258 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:11:47,259 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:11:47,262 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:11:47,263 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:11:47,266 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:11:47,267 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:11:47,271 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:14:13,652 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:14:43,824 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:14:43,834 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:14:43,836 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:14:43,842 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:14:43,844 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:14:43,857 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:14:43,860 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:14:43,870 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:14:43,873 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:14:43,882 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:14:51,223 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:14:51,226 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:14:51,227 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:14:51,230 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:14:51,231 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:14:51,234 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:14:51,235 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:14:51,238 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:16:47,295 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:17:11,287 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:17:11,295 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:17:11,296 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:17:11,302 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:17:11,303 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:17:11,310 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:17:11,314 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:17:11,322 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:17:11,324 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:17:11,330 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:17:17,927 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:17:17,932 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:17:17,933 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:17:17,936 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:17:17,937 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:17:17,942 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:17:17,943 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:17:17,946 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:25:27,448 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:25:41,420 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:25:41,428 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:25:41,430 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:25:41,437 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:25:41,438 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:25:41,444 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:25:41,446 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:25:41,452 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:25:41,454 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:25:41,461 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:25:48,350 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:25:48,354 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:25:48,355 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:25:48,357 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:25:48,358 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:25:48,360 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:25:48,361 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:25:48,364 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:25:53,836 | INFO | genai | Vector store is empty.
2025-06-14 19:34:51,476 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:35:17,514 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:35:17,522 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:35:17,526 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:35:17,532 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:35:17,536 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:35:17,544 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:35:17,546 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:35:17,553 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:35:17,555 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:35:17,562 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:35:30,665 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:35:30,669 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:35:30,670 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:35:30,672 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:35:30,673 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:35:30,676 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:35:30,677 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:35:30,679 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:35:39,699 | ERROR | genai | Error in RAG chain: list index out of range
Traceback (most recent call last):
  File "/app/src/app/infrastructure/llm/chains.py", line 63, in run
    chunks = self.vector_store.search(query_embedding_np, top_k=50)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/app/src/app/infrastructure/vector_store/faiss.py", line 36, in search
    doc = self.documents[idx]
          ~~~~~~~~~~~~~~^^^^^
IndexError: list index out of range
2025-06-14 19:40:20,847 | INFO | genai | GenAI RAG System is starting...
2025-06-14 19:40:35,348 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:40:35,355 | INFO | genai | Added 11 chunks. Total in index: 11
2025-06-14 19:40:35,359 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:40:35,366 | INFO | genai | Added 10 chunks. Total in index: 21
2025-06-14 19:40:35,368 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:40:35,374 | INFO | genai | Added 10 chunks. Total in index: 31
2025-06-14 19:40:35,377 | INFO | genai | Token-split into 10 chunks.
2025-06-14 19:40:35,383 | INFO | genai | Added 10 chunks. Total in index: 41
2025-06-14 19:40:35,386 | INFO | genai | Token-split into 11 chunks.
2025-06-14 19:40:35,393 | INFO | genai | Added 11 chunks. Total in index: 52
2025-06-14 19:40:41,755 | INFO | genai | Token-split into 5 chunks.
2025-06-14 19:40:41,759 | INFO | genai | Added 5 chunks. Total in index: 57
2025-06-14 19:40:41,760 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:40:41,763 | INFO | genai | Added 3 chunks. Total in index: 60
2025-06-14 19:40:41,763 | INFO | genai | Token-split into 4 chunks.
2025-06-14 19:40:41,766 | INFO | genai | Added 4 chunks. Total in index: 64
2025-06-14 19:40:41,767 | INFO | genai | Token-split into 3 chunks.
2025-06-14 19:40:41,769 | INFO | genai | Added 3 chunks. Total in index: 67
2025-06-14 19:40:48,872 | ERROR | genai | Error in RAG chain: No documents in vector store
Traceback (most recent call last):
  File "/app/src/app/infrastructure/llm/chains.py", line 71, in run
    chunks = self.vector_store.search(query_embedding_np, top_k=50)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/app/src/app/infrastructure/vector_store/faiss.py", line 34, in search
    raise ValueError("No documents in vector store")
ValueError: No documents in vector store
2025-06-15 00:15:09,550 | INFO | genai | GenAI RAG System is starting...
2025-06-15 00:15:23,397 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:15:23,404 | INFO | genai | Added 11 documents to vector store
2025-06-15 00:15:23,405 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:23,406 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef with 11 chunks
2025-06-15 00:15:23,407 | INFO | genai | Token-split into 10 chunks.
2025-06-15 00:15:23,416 | INFO | genai | Added 10 documents to vector store
2025-06-15 00:15:23,419 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:23,420 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef with 10 chunks
2025-06-15 00:15:23,422 | INFO | genai | Token-split into 10 chunks.
2025-06-15 00:15:23,432 | INFO | genai | Added 10 documents to vector store
2025-06-15 00:15:23,433 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:23,433 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef with 10 chunks
2025-06-15 00:15:23,436 | INFO | genai | Token-split into 10 chunks.
2025-06-15 00:15:23,445 | INFO | genai | Added 10 documents to vector store
2025-06-15 00:15:23,447 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:23,448 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef with 10 chunks
2025-06-15 00:15:23,450 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:15:23,457 | INFO | genai | Added 11 documents to vector store
2025-06-15 00:15:23,458 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:23,458 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef with 11 chunks
2025-06-15 00:15:33,614 | INFO | genai | Token-split into 5 chunks.
2025-06-15 00:15:33,618 | INFO | genai | Added 5 documents to vector store
2025-06-15 00:15:33,619 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:33,619 | INFO | genai | Successfully ingested document 4986143-anexo-i-metologia-para-la-asignacion-del-perfil-de-cumplimiento-y-ponderacion-de-las-variables with 5 chunks
2025-06-15 00:15:33,620 | INFO | genai | Token-split into 3 chunks.
2025-06-15 00:15:33,622 | INFO | genai | Added 3 documents to vector store
2025-06-15 00:15:33,622 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:33,623 | INFO | genai | Successfully ingested document 4986143-anexo-i-metologia-para-la-asignacion-del-perfil-de-cumplimiento-y-ponderacion-de-las-variables with 3 chunks
2025-06-15 00:15:33,623 | INFO | genai | Token-split into 4 chunks.
2025-06-15 00:15:33,626 | INFO | genai | Added 4 documents to vector store
2025-06-15 00:15:33,626 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:33,627 | INFO | genai | Successfully ingested document 4986143-anexo-i-metologia-para-la-asignacion-del-perfil-de-cumplimiento-y-ponderacion-de-las-variables with 4 chunks
2025-06-15 00:15:33,627 | INFO | genai | Token-split into 3 chunks.
2025-06-15 00:15:33,629 | INFO | genai | Added 3 documents to vector store
2025-06-15 00:15:33,630 | INFO | genai | Saved FAISS index to faiss_index.bin
2025-06-15 00:15:33,630 | INFO | genai | Successfully ingested document 4986143-anexo-i-metologia-para-la-asignacion-del-perfil-de-cumplimiento-y-ponderacion-de-las-variables with 3 chunks
2025-06-15 00:15:49,988 | ERROR | genai | Vector store is empty - no documents to search
2025-06-15 00:22:24,811 | INFO | genai | GenAI RAG System is starting...
2025-06-15 00:22:42,806 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:22:42,814 | ERROR | genai | Failed to ingest document 4986143-ds320_2023ef: 
2025-06-15 00:26:00,474 | INFO | genai | GenAI RAG System is starting...
2025-06-15 00:26:13,011 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:26:13,021 | ERROR | genai | Failed to ingest document 4986143-ds320_2023ef: 'FaissStore' object has no attribute '_persist_data'
2025-06-15 00:28:37,394 | INFO | genai | GenAI RAG System is starting...
2025-06-15 00:28:46,712 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:28:46,720 | ERROR | genai | Failed to ingest document: 'FaissStore' object has no attribute '_persist_data'
2025-06-15 00:33:17,333 | INFO | genai | GenAI RAG System is starting...
2025-06-15 00:33:26,286 | INFO | genai | Token-split into 11 chunks.
2025-06-15 00:33:26,309 | INFO | genai | Persisted FAISS index and 11 documents to disk
2025-06-15 00:33:26,310 | INFO | genai | Added 11 documents (total: 11)
2025-06-15 00:33:26,311 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef
2025-06-15 00:33:26,313 | INFO | genai | Token-split into 10 chunks.
2025-06-15 00:33:26,320 | INFO | genai | Persisted FAISS index and 21 documents to disk
2025-06-15 00:33:26,320 | INFO | genai | Added 10 documents (total: 21)
2025-06-15 00:33:26,320 | INFO | genai | Successfully ingested document 4986143-ds320_2023ef
2025-06-15 00:33:26,322 | INFO | genai | Token-split into 10 chunks.
2025-06-15 00:33:26,329 | INFO | genai | Persisted FAISS index and 31 documents to disk
2025-06-15 00:33:26,329 | INFO | genai | Added 10 documents (total: 31)
